UNIQUE_ID,COUNTYFP,CNTY_NAME,PREC,G22ATGDFOR,G22ATGOWRI,G22ATGRCHA,G22CNTDSPI,G22CNTLPRO,G22CNTOWRI,G22CNTRMAT,G22GOVABRI,G22GOVDSIS,G22GOVLDAV,G22GOVOWRI,G22GOVRLOM,G22LTGAHOG,G22LTGDCAN,G22LTGIDEL,G22LTGLTAC,G22LTGOWRI,G22LTGRANT,G22SOSAHAN,G22SOSDAGU,G22SOSLCRA,G22SOSOWRI,G22SOSRMAR,G22SQ1NO,G22SQ1YES,G22SQ2NO,G22SQ2YES,G22SQ3NO,G22SQ3YES,G22TREAHEN,G22TREDCON,G22TRELELL,G22TREOWRI,G22TRERFIO,G22USSARUB,G22USSDCOR,G22USSILIN,G22USSLSCO,G22USSOWRI,G22USSRLAX,GCAJ1NFOR,GCAJ1NWES,GCAJ1NWRI,GCAJ2NGIB,GCAJ2NWRI,GCAJ3NBUL,GCAJ3NWRI,GCON01DTIT,GCON01LCAV,GCON01RROB,GCON02ABES,GCON02DKRA,GCON02LBAB,GCON02RAMO,GCON03DLEE,GCON03RBEC,GCON04DHOR,GCON04RPET,GSCJANBEL,GSCJANWRI,GSCJENPAR,GSCJENWRI,GSL001DMON,GSL001IMCA,GSL001RBRI,GSL002DCHR,GSL002LBED,GSL002RKAS,GSL003DTOR,GSL003RLEM,GSL004LBUR,GSL004RMCA,GSL005DMIL,GSL005LMOR,GSL005RQUI,GSL006DSUM,GSL006RRIO,GSL007DMIL,GSL007RPAL,GSL008DNGU,GSL008RLOG,GSL009DYEA,GSL009RFLE,GSL010DNGU,GSL010RHER,GSL011DDUR,GSL011RKRA,GSL012DCAR,GSL012RLAR,GSL013DRUC,GSL013RHIB,GSL014DMOS,GSL014RSTA,GSL015DWAT,GSL015RBAN,GSL016DGON,GSL016RHOL,GSL017DTHO,GSL017RPAW,GSL018DCON,GSL018RDEC,GSL019RYUR,GSL020DORE,GSL020LLAR,GSL020RVAU,GSL021DMAR,GSL021RPET,GSL022DRAM,GSL022RHAR,GSL023DBRI,GSL023LMAN,GSL023RGAL,GSL024DPET,GSL024RKIN,GSL025DLAR,GSL025RKUM,GSL026LMIT,GSL026RDEL,GSL027DTAY,GSL027RORT,GSL028DDSI,GSL028RBRO,GSL029DCOH,GSL029RKNI,GSL030DAND,GSL030LMCG,GSL030RROD,GSL031RDIC,GSL032RHAN,GSL033DGAR,GSL033RGUR,GSL034DBIL,GSL034RBUT,GSL035DGOR,GSL035LROB,GSL035RJON,GSL036RHAF,GSL037DBAC,GSL037LTED,GSL037RDEA,GSL038RKOE,GSL039DNOB,GSL039RGRA,GSL040DMCD,GSL040LTOL,GSL040RONE,GSL041DJAU,GSL041LMCN,GSL041RBOD,GSL042DBRO,GSL042RFAC,GSU02DFLO,GSU02RHEN,GSU08DLOO,GSU08RPAU,GSU09DSCH,GSU09RBRO,GSU10DDON,GSU10LCUN,GSU10RGRA,GSU12DPAZ,GSU12RARR,GSU13DDAL,GSU13RBUE,GSU14RHAN,GSU16DSIM,GSU16RKRA,GSU17RTIT,GSU20DFOU,GSU20LMIL,GSU20RSTO,GSU21DOHR,GSU21RLAR
Carson City-101,510,Carson City,101,348,29,263,304,15,18,324,14,318,7,12,315,15,306,3,8,18,315,18,328,9,13,292,285,367,313,338,302,354,18,324,12,16,293,11,340,2,5,11,300,156,306,153,452,145,419,167,0,0,0,14,291,5,354,0,0,0,0,449,152,456,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,16,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,340,0,0,0,0,0,0
Carson City-103,510,Carson City,103,515,35,402,448,19,28,476,6,452,16,13,495,8,447,7,8,17,488,20,488,10,14,441,486,483,566,406,537,431,11,490,14,14,447,6,487,4,8,6,472,224,491,185,721,162,685,195,0,0,0,10,410,9,552,0,0,0,0,717,180,730,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,24,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,521,0,0,0,0,0,0
Carson City-105,510,Carson City,105,431,33,442,354,7,17,554,5,381,6,2,546,3,361,4,5,16,546,18,406,2,18,487,528,398,614,313,599,327,12,407,13,21,481,0,404,4,4,6,523,190,472,172,700,127,649,168,0,0,0,5,333,0,598,0,0,0,0,672,155,698,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,19,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,575,0,0,0,0,0,0
Carson City-107,510,Carson City,107,542,44,539,446,13,22,679,8,462,16,20,663,11,442,10,11,20,670,15,519,9,21,600,636,521,706,445,682,473,18,515,20,27,583,7,482,3,5,19,656,292,519,239,817,230,751,281,0,0,0,11,382,8,762,0,0,0,0,807,241,853,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,25,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,728,0,0,0,0,0,0
Carson City-109,510,Carson City,109,625,59,555,527,18,38,707,14,539,15,22,706,14,525,9,7,21,711,28,581,7,21,652,643,630,708,562,703,577,24,575,25,35,630,8,570,13,6,16,683,268,644,288,925,264,861,320,0,0,0,18,469,6,797,0,0,0,0,919,264,945,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,26,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,768,0,0,0,0,0,0
Carson City-111,510,Carson City,111,452,52,395,394,24,32,490,20,422,19,22,467,14,387,13,21,31,478,31,426,17,25,442,387,548,402,528,383,559,26,397,22,27,471,16,448,10,3,17,460,226,403,245,626,247,595,276,0,0,0,15,396,12,523,0,0,0,0,629,252,632,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,36,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,537,0,0,0,0,0,0
Carson City-113,510,Carson City,113,533,47,596,459,22,30,714,8,476,21,17,715,13,449,14,13,31,710,28,505,15,26,657,652,561,729,488,668,546,24,486,24,35,664,6,491,15,7,19,700,301,535,288,887,239,850,274,0,0,0,18,433,16,760,0,0,0,0,888,250,900,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,41,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,764,0,0,0,0,0,0
Carson City-201,510,Carson City,201,392,42,344,346,19,22,426,24,345,18,26,409,14,327,18,15,31,404,41,364,13,19,379,376,435,403,408,342,469,36,341,19,28,389,10,360,17,11,25,400,184,372,199,575,178,541,211,0,0,0,24,322,13,462,0,0,0,0,563,196,558,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,28,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,463,0,0,0,0,0,0
Carson City-203,510,Carson City,203,528,40,412,471,25,21,506,14,487,16,17,492,15,464,11,15,19,499,37,510,8,17,446,437,565,477,521,473,534,23,496,11,18,477,7,500,14,4,12,489,238,488,212,733,198,706,219,0,0,0,20,449,11,543,0,0,0,0,731,210,725,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,21,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,522,0,0,0,0,0,0
Carson City-205,510,Carson City,205,521,48,438,431,15,33,575,14,439,23,13,575,10,436,15,16,21,561,18,492,12,10,526,482,564,524,522,500,545,17,470,26,18,524,4,489,14,10,7,543,251,490,238,748,225,702,263,0,0,0,13,418,13,621,0,0,0,0,740,235,752,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,35,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,606,0,0,0,0,0,0
Carson City-207,510,Carson City,207,424,50,372,340,11,39,492,10,363,12,27,477,14,337,5,12,28,485,28,383,5,21,449,403,470,425,447,415,463,22,344,17,34,469,14,376,5,9,18,470,203,403,216,625,193,590,226,0,0,0,13,334,3,539,0,0,0,0,623,204,610,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,19,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,525,0,0,0,0,0,0
